epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.26,1.53002,2.33232,1.73988,0.31436,0.30979,0.2189,0.07987,2.18138,3.24275,2.46531,0.000554169,0.000554169,0.000554169
2,2209.22,1.63275,2.16046,1.82283,0.3522,0.35216,0.26524,0.10963,1.94512,3.55476,2.23407,0.00106914,0.00106914,0.00106914
3,3295.84,1.63099,2.07838,1.82924,0.38297,0.35599,0.34159,0.16407,1.80405,2.28328,2.05535,0.00154337,0.00154337,0.00154337
4,4368.01,1.59911,2.00621,1.8019,0.42268,0.42217,0.40122,0.18168,1.83211,2.16542,2.07192,0.00148363,0.00148363,0.00148363
5,5431.98,1.54194,1.93176,1.75876,0.47014,0.44886,0.43305,0.19408,1.7991,2.02695,2.02703,0.00142251,0.00142251,0.00142251
6,6494.57,1.50746,1.8373,1.73251,0.4478,0.38334,0.37883,0.17323,1.8782,2.34138,2.11382,0.00136138,0.00136138,0.00136138
7,7558.43,1.48753,1.78871,1.71136,0.51682,0.48315,0.4902,0.2322,1.71787,1.88579,1.94798,0.00130026,0.00130026,0.00130026
8,8622.31,1.45712,1.72784,1.68596,0.5243,0.45792,0.47911,0.23873,1.75268,1.94253,1.96521,0.00123914,0.00123914,0.00123914
9,9685.86,1.42507,1.67283,1.66779,0.52632,0.45824,0.48806,0.25317,1.65011,1.88428,1.87097,0.00117801,0.00117801,0.00117801
10,10762.4,1.38667,1.63516,1.63791,0.55479,0.49846,0.53137,0.28817,1.60253,1.64902,1.86118,0.00111689,0.00111689,0.00111689
11,11868.1,1.39228,1.60488,1.62736,0.5832,0.53142,0.58267,0.33359,1.49453,1.55678,1.74733,0.00105577,0.00105577,0.00105577
12,12942.9,1.37173,1.56097,1.61419,0.57875,0.52801,0.5589,0.32216,1.46891,1.64086,1.74519,0.000994643,0.000994643,0.000994643
13,14016.5,1.32594,1.51659,1.58483,0.54583,0.57953,0.58447,0.32673,1.49934,1.58182,1.72099,0.00093352,0.00093352,0.00093352
14,15115.8,1.32185,1.48266,1.57822,0.59008,0.54209,0.58861,0.32246,1.48218,1.57039,1.73595,0.000872397,0.000872397,0.000872397
15,16191.3,1.29786,1.43683,1.56046,0.66194,0.53781,0.6096,0.34681,1.4922,1.53797,1.72572,0.000811273,0.000811273,0.000811273
16,17254.1,1.28415,1.41114,1.54632,0.61763,0.56692,0.62433,0.363,1.45333,1.40917,1.71407,0.00075015,0.00075015,0.00075015
17,18319.6,1.26427,1.37458,1.53698,0.63377,0.55402,0.60677,0.35699,1.46637,1.40191,1.71866,0.000689027,0.000689027,0.000689027
18,19367.9,1.22424,1.10515,1.64618,0.60189,0.59864,0.62085,0.37692,1.38111,1.39608,1.66296,0.000627903,0.000627903,0.000627903
19,20415.9,1.18032,1.01962,1.60675,0.64792,0.59574,0.65046,0.39064,1.41318,1.29241,1.66938,0.00056678,0.00056678,0.00056678
20,21464.9,1.14376,0.95917,1.56838,0.66489,0.60724,0.66313,0.39949,1.39223,1.28382,1.65601,0.000505657,0.000505657,0.000505657
21,22514.2,1.11478,0.91575,1.54522,0.65417,0.60305,0.6669,0.41073,1.37959,1.24747,1.66399,0.000444533,0.000444533,0.000444533
22,23561,1.08488,0.87227,1.51513,0.62857,0.63781,0.66669,0.40088,1.38938,1.25476,1.65496,0.00038341,0.00038341,0.00038341
23,24611.6,1.05712,0.83432,1.49237,0.68322,0.61219,0.68235,0.42191,1.37177,1.19397,1.65356,0.000322287,0.000322287,0.000322287
24,25662.2,1.02338,0.80272,1.46043,0.65457,0.62997,0.68729,0.42252,1.37038,1.19707,1.65984,0.000261163,0.000261163,0.000261163
25,26710.2,1.0035,0.77841,1.44482,0.69193,0.63101,0.68805,0.43054,1.35021,1.1889,1.6371,0.00020004,0.00020004,0.00020004
26,27756.9,0.96876,0.74584,1.41444,0.65764,0.62888,0.68629,0.43286,1.33999,1.1659,1.64345,0.000138917,0.000138917,0.000138917
27,28806,0.94854,0.72576,1.39893,0.67348,0.64463,0.68569,0.4294,1.33891,1.17896,1.6365,7.77933e-05,7.77933e-05,7.77933e-05
