epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8456,1.28698,10.8231,0.71183,2.3666,1.47174,0.44575,1,0.55514,0.40576,0,0,0,0,0.85684,11.1982,0.67968,2.24778,1.11755,0.00011669,0.00011669,0.00011669
2,61.8566,1.03655,10.3577,0.69551,1.36425,1.29999,0.87947,1,0.995,0.73859,0,0,0,0,0.99481,10.9879,0.67897,2.57997,1.37265,0.000246355,0.000246355,0.000246355
3,89.2796,0.95136,9.8623,0.69343,1.06245,1.21643,0.93453,1,0.995,0.81436,0,0,0,0,0.95142,10.738,0.67159,1.10264,1.17762,0.000372079,0.000372079,0.000372079
4,116.116,0.91657,9.64408,0.69041,0.99351,1.1828,0.92978,0.99162,0.995,0.79648,0,0,0,0,0.82815,10.4185,0.66465,1.18679,1.11761,0.000493862,0.000493862,0.000493862
5,143.287,0.90921,9.02725,0.68566,0.94507,1.17562,0.91676,0.75,0.91167,0.64825,0,0,0,0,1.1633,9.9758,0.65757,1.52279,1.43237,0.000611704,0.000611704,0.000611704
6,170.863,0.90973,8.8544,0.67588,0.91412,1.15604,0.90394,1,0.995,0.81152,0,0,0,0,1.05886,9.77184,0.63912,1.48785,1.34151,0.000725605,0.000725605,0.000725605
7,198.802,0.85532,8.51627,0.6568,0.8394,1.11835,0.97619,1,0.995,0.7394,0,0,0,0,0.95751,9.40471,0.62392,1.16738,1.17173,0.000835565,0.000835565,0.000835565
8,226.599,0.84784,8.43278,0.64762,0.82746,1.13639,0.90738,1,0.995,0.69041,0,0,0,0,1.18883,9.21604,0.60627,1.24891,1.31147,0.000941584,0.000941584,0.000941584
9,254.581,0.8736,8.16912,0.63461,0.79369,1.13715,0.9402,1,0.995,0.6617,0,0,0,0,0.99544,8.94908,0.57228,1.20496,1.26478,0.00104366,0.00104366,0.00104366
10,280.934,0.8688,8.00079,0.61785,0.74303,1.13726,0.78518,1,0.995,0.74239,0,0,0,0,0.95265,8.70774,0.54019,1.38221,1.26986,0.0011418,0.0011418,0.0011418
